"","scenario","method","autocorr","n","bias","mse","coverage","mcse_bias","mcse_mse","mcse_cover"
"174","25","MA(2)","0.31|0.21|0.09",20,-0.034,1.588,0.7,0.028,0.054,0.01
"175","25","MA(3)","0.31|0.21|0.09",20,-0.049,1.695,0.669,0.029,0.055,0.011
"176","26","Linear Reg","0.31|0.21|0.09",50,-0.008,0.663,0.842,0.018,0.021,0.008
"177","26","Prais Winsten","0.31|0.21|0.09",50,-0.008,0.636,0.901,0.018,0.021,0.007
"178","26","ARMA","0.31|0.21|0.09",50,-0.01,0.654,0.861,0.018,0.022,0.008
"179","26","Newey West","0.31|0.21|0.09",50,-0.008,0.663,0.833,0.018,0.021,0.008
"180","26","MA(1)","0.31|0.21|0.09",50,-0.006,0.64,0.865,0.018,0.021,0.008
"181","26","MA(2)","0.31|0.21|0.09",50,-0.007,0.653,0.877,0.018,0.021,0.007
"182","26","MA(3)","0.31|0.21|0.09",50,-0.006,0.719,0.832,0.019,0.025,0.008
"183","27","Linear Reg","0.31|0.21|0.09",100,0.022,0.35,0.825,0.013,0.011,0.008
"184","27","Prais Winsten","0.31|0.21|0.09",100,0.019,0.334,0.913,0.013,0.011,0.006
"185","27","ARMA","0.31|0.21|0.09",100,0.021,0.338,0.906,0.013,0.011,0.007
"186","27","Newey West","0.31|0.21|0.09",100,0.022,0.35,0.862,0.013,0.011,0.008
"187","27","MA(1)","0.31|0.21|0.09",100,0.022,0.339,0.876,0.013,0.011,0.007
"188","27","MA(2)","0.31|0.21|0.09",100,0.02,0.334,0.908,0.013,0.011,0.006
"189","27","MA(3)","0.31|0.21|0.09",100,0.019,0.334,0.918,0.013,0.01,0.006
"190","28","Linear Reg","0.31|0.21|0.09",300,0.005,0.136,0.798,0.008,0.004,0.009
"191","28","Prais Winsten","0.31|0.21|0.09",300,0.003,0.132,0.922,0.008,0.004,0.006
"192","28","ARMA","0.31|0.21|0.09",300,0.004,0.133,0.925,0.008,0.004,0.006
"193","28","Newey West","0.31|0.21|0.09",300,0.005,0.136,0.899,0.008,0.004,0.007
"194","28","MA(1)","0.31|0.21|0.09",300,0.004,0.134,0.88,0.008,0.004,0.007
"195","28","MA(2)","0.31|0.21|0.09",300,0.004,0.132,0.917,0.008,0.004,0.006
"196","28","MA(3)","0.31|0.21|0.09",300,0.003,0.131,0.935,0.008,0.004,0.006
"197","29","Linear Reg","0.29|0.12|0.07",20,0.01,1.242,0.886,0.025,0.042,0.007
"198","29","Prais Winsten","0.29|0.12|0.07",20,0.002,1.238,0.874,0.025,0.043,0.007
"199","29","ARMA","0.29|0.12|0.07",20,-0.007,1.273,0.816,0.025,0.043,0.009
"200","29","Newey West","0.29|0.12|0.07",20,0.01,1.242,0.746,0.025,0.042,0.01
"201","29","MA(1)","0.29|0.12|0.07",20,0.012,1.397,0.762,0.026,0.05,0.01
"202","29","MA(2)","0.29|0.12|0.07",20,0.009,1.63,0.694,0.029,0.059,0.01
"203","29","MA(3)","0.29|0.12|0.07",20,-0.005,1.719,0.665,0.029,0.058,0.011
"204","30","Linear Reg","0.29|0.12|0.07",50,-0.031,0.643,0.847,0.018,0.02,0.008
